FName,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY,Class
hb22_7.png,670.025416560887,57.8058671268335,43.5962036238136,36.1347557440913,24.4462982465094,0.73641375197802,-34.6419466600836,755.296123155132,670.025416560887,29.2079245469953,0.887102946804439,0.645502645502645,134.14788855408,141.831863819078,100.28322683472,42.20314,11.6059812500455,17.280792368595,62,46,2
hb23_1.png,178.056797498493,30.9788961038961,24.237012987013,25.2714017273581,9.65090018188722,0.92420770911751,-22.1957739580247,208.40738798119,178.056797498493,15.0568574338732,0.854368932038835,0.564102564102564,59.46584705232,62.8019813853128,55.69486309824,24.66143,3.91405439838879,11.6817279273669,38,29,2
hb23_2.png,177.7677442558,44.0666666666667,35.7788617886179,25.8411992865855,9.44267937595862,0.930845964648412,-74.0379293646435,215.633719048499,177.7677442558,15.044630994639,0.824396782841823,0.537587412587413,67.29652587912,70.6662178821733,57.84272179464,27.9795,3.80166570429749,12.9796975831343,44,29,2
hb23_3.png,177.7677442558,39.7772357723577,36.4455284552846,25.4603342012274,9.63833769196883,0.925575571426941,-80.9117319064871,215.922772291192,177.7677442558,15.044630994639,0.823293172690763,0.607707509881423,66.09544544664,70.4053127958506,57.00669669504,26.10568,3.80166570429749,11.9966684315996,41,30,2
hb23_4.png,179.791116954647,39.8295819935691,39.3183279742765,25.5849895300802,9.65150189335035,0.926118392721054,-76.1714460152979,215.633719048499,179.791116954647,15.1300085888529,0.833780160857909,0.578604651162791,63.5701657728,67.1794924758506,56.77551290544,24.17783,3.80166570429749,11.4590317115996,40,31,2
hb23_5.png,178.056797498493,37.8035714285714,34.3506493506493,25.5291352747984,9.57101209005101,0.927063050389361,-6.87977092663795,211.876026893499,178.056797498493,15.0568574338732,0.840381991814461,0.666666666666667,63.80995174992,67.6789205305817,56.18411251344,25.66029,3.80166570429749,12.9414889188368,30,32,2
hb23_6.png,179.502063711955,40.2785829307568,38.7987117552335,24.7941261602913,9.92058199032614,0.916463528055533,27.27396041813,211.297920408114,179.502063711955,15.1178413101749,0.849521203830369,0.5175,61.56047971344,65.0289455958506,55.71744384048,23.6784,3.91405439838879,11.4590317115996,49,36,2
hb23_7.png,178.634903983877,45.7216828478964,38.0776699029126,26.7450222522264,9.19479408964781,0.939044874618383,-69.631732699931,217.657091747346,178.634903983877,15.0812805763384,0.820717131474104,0.501623376623377,70.57772278128,74.6523713432271,58.9142317776,27.9795,3.80166570429749,12.7570013673669,45,32,2
hb24_1.png,367.386671461987,38.3273013375295,39.2313139260425,24.3857518875147,20.0012961855282,0.572070857306863,15.7810507888006,402.940220313148,367.386671461987,21.6280197501766,0.911764705882353,0.661979166666667,85.07724748296,90.0975571327113,72.60031212192,29.27747,9.13982424,6.80478980853012,40,39,2
hb24_2.png,368.253831190065,44.5423861852433,37.2064364207221,24.7936073043448,19.7176904073175,0.606251269983794,-23.6887256902698,409.877498137764,368.253831190065,21.6535295130244,0.898448519040903,0.621463414634146,90.01705366632,95.6043768758727,73.4895632568,31.33577,8.61897226012939,11.1058835685301,46,39,2
hb24_3.png,367.964777947372,48.0879811468971,43.8224666142969,24.3389969670234,20.0797394682087,0.565128710918679,-7.62749355369359,404.096433283917,367.964777947372,21.6450295992472,0.910586552217454,0.649489795918367,85.779938676,90.5429499748189,73.05837860736,30.22229,9.13982424,7.43467030426506,49,43,2
hb24_4.png,367.964777947372,53.324430479183,35.7604084838963,25.9764007005321,18.826383651532,0.689012444954951,-59.8717471146742,412.478977321995,367.964777947372,21.6450295992472,0.89208128941836,0.618561710398445,93.40577791248,98.5916742274643,74.27236232112,32.0579,8.41534602357857,9.17803290429748,53,34,2
hb24_5.png,368.253831190065,63.2990580847724,43.4591836734694,28.7736175761974,17.0108275807676,0.806528432799166,-34.8246063497336,408.721285166995,368.253831190065,21.6535295130244,0.900990099009901,0.569767441860465,90.2933989404,95.3658539074643,77.00248158528,34.19262,7.99254449044624,12.887453294669,59,40,2
hb24_6.png,366.808564976603,51.4160756501182,30.9684791174153,28.5055823811851,17.1324400356755,0.799233589598417,-47.1334502155491,408.432231924302,366.808564976603,21.6109965127888,0.898089171974522,0.5875,93.44986412352,99.0911022821954,76.47774814656,35.13744,7.99254449044624,14.6848510061389,51,29,2
hb24_7.png,366.51951173391,55.6451104100946,48.5788643533123,23.2038894902186,20.9854149076883,0.426702338328219,-49.7896700700326,404.385486526609,366.51951173391,21.602479863586,0.906361686919228,0.685776095186587,90.27511929192,95.734829419034,72.72020511048,31.78117,8.61897226012939,5.72951636853012,55,48,2
