Area,MjrAxisLength,MnrAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerim,FibLen,InscribeR,BlebLen,Class
282.0979,21.8928,18.2001,0.55578,340.6708,18.952,0.82807,0.57105,88.4671,66.9528,28.2467,6.7567,16.7717,0
313.9685,22.9656,18.2129,0.60915,352.2993,19.9939,0.8912,0.77143,78.2202,67.3216,27.3186,8.5314,8.0344,0
314.3991,24.164,17.3583,0.69568,363.9278,20.0076,0.86391,0.55303,85.9176,69.5536,29.5126,7.9025,6.7219,0
313.9685,25.8807,16.211,0.77952,368.6653,19.9939,0.85164,0.62308,89.8952,71.2566,31.9591,7.0682,8.5781,0
315.2605,22.5962,18.6121,0.56705,360.913,20.035,0.87351,0.6945,81.8835,68.4071,28.2001,8.1175,7.3782,0
314.8298,22.065,19.0757,0.50259,366.0812,20.0213,0.86,0.65502,85.7706,68.0219,27.5438,7.3373,10.5469,0
313.5378,22.1648,18.8714,0.5245,353.1607,19.9802,0.8878,0.5787,80.7285,67.0952,24.8721,7.4248,8.1937,0
316.5526,24.6785,17.1211,0.7202,363.4971,20.076,0.87085,0.58894,87.7138,69.3469,29.6718,7.0682,10.275,0
374.2642,27.185,18.7859,0.72282,452.2179,21.8295,0.82762,0.5462,93.9437,77.9603,37.8848,7.8752,11.7002,0
374.2642,31.5983,16.2152,0.85829,459.9702,21.8295,0.81367,0.46421,104.4951,84.0505,43.3875,7.2487,13.1719,0
373.4028,23.5751,21.5955,0.40111,456.9555,21.8044,0.81715,0.52355,101.4494,77.7543,35.1938,8.5314,13.0593,0
375.1255,25.0593,20.506,0.57479,459.5396,21.8546,0.81631,0.51175,99.4635,78.0588,37.8189,7.9025,13.0593,0
372.9721,26.4731,19.3362,0.68301,461.693,21.7918,0.80784,0.55371,101.4717,79.3004,37.2752,8.0107,11.7468,0
373.8335,28.3473,18.0371,0.77145,455.6634,21.817,0.82042,0.50999,100.9021,78.4276,39.1314,7.4248,10.5469,0
373.4028,28.6656,17.797,0.78393,468.5839,21.8044,0.79688,0.52866,106.2913,83.137,41.8031,7.9025,12.1312,0
332.0572,23.587,18.4259,0.62429,363.9278,20.5618,0.91243,0.6817,74.4808,68.142,25.3498,8.7557,12.0186,0
333.7799,25.3027,17.2891,0.73015,373.8335,20.6151,0.89286,0.63008,85.1136,70.4481,31.7999,7.4826,12.4031,0
333.7799,26.7084,16.416,0.78881,374.6949,20.6151,0.8908,0.62099,81.4825,70.492,31.6873,7.6533,10.9313,0
330.7651,23.7347,18.3073,0.63643,372.1108,20.5218,0.88889,0.66667,78.4381,68.5213,29.5592,8.5566,11.5876,0
332.4879,26.9984,16.157,0.80117,374.6949,20.5751,0.88736,0.61859,85.6511,71.2737,31.1436,7.4826,13.7156,0
