Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
44,1,1096,80.7810218978102,830.788321167883,61.3378036203584,31.85864329539,0.854533339754908,18.3215940363193,1608,1096,37.3559973903755,0.681592039800995,0.401465201465201,195.822,207.237590053236,169.912,83.6985092163086,13,44.8994979858398,88,829
45,1,1236,76.9077669902913,833.095469255663,73.1120360936476,29.9017596074659,0.912540900284813,15.3499266237963,1913,1236,39.6701912938753,0.646105593308939,0.386491557223265,213.967,225.722871427475,185.385,86.9411468505859,13,53.970573425293,87,830
46,1,1032,80.0843023255814,830.665697674419,69.0622216002974,26.4483545941443,0.923763207878593,15.929731939586,1466,1032,36.2489063306286,0.703956343792633,0.418831168831169,188.163,198.852813742386,177.502,83.7695770263672,13,53.5563583374023,89,828
47,1,917,91.8985823336968,823.611777535442,43.5613961451406,29.346430007827,0.739023415441869,38.9919588029087,1025,917,34.1695868064298,0.894634146341463,0.606481481481482,129.933,136.811183182043,122.879,55.1127090454102,13,17.0710678100586,94,824
48,1,952,89.2794117647059,821.694327731092,40.2745737158734,32.8226545742242,0.579500172266409,48.3936252512056,1113,952,34.8155718980441,0.855345911949686,0.596491228070175,132.704,140.124891681028,121.489,52.8700675964355,13,16.6568546295166,92,823
49,1,1121,84.256913470116,824.258697591436,61.3644721656017,34.8569814458287,0.823006495444629,19.1549206670797,1836,1121,37.7796443822347,0.610566448801743,0.389236111111111,187.121,197.438600180013,166.786,86.284294128418,12.806248664856,40.8994979858398,92,824
50,1,1123,84.7248441674087,824.845948352627,66.9731822819045,29.1612591641957,0.900228901118935,14.4933260186462,1491,1123,37.8133310981403,0.753185781354795,0.465202982601491,178.049,187.438600180013,165.345,82.5269317626953,12,44.7279243469238,93,825
51,1,921,90.2877307274701,824.270358306189,56.7294509364616,27.4040925233267,0.875583712794473,38.0292853673004,1312,921,34.2440304389113,0.701981707317073,0.349924012158055,170.905,178.994949366117,155.489,77.5980072021484,10.6301460266113,28.9705600738525,90,828
52,1,1006,87.5536779324056,821.207753479125,68.2891149611435,25.1628082351687,0.929637793390644,31.9341420183998,1480,1006,35.7893696787688,0.67972972972973,0.312810945273632,198.038,209.580735803744,179.001,93.4264450073242,9.84885787963867,43.2132034301758,89,824
53,1,955,90.5340314136126,823.37277486911,57.7188226061152,23.943891074073,0.909895839053777,29.9697022209551,1195,955,34.8703852175751,0.799163179916318,0.459355459355459,156.489,165.438600180013,148.5,74.3553619384766,10.1980390548706,35.7279205322266,97,820
54,1,1092,89.5695970695971,823.221611721612,69.759421121488,32.0393214415834,0.888289962250976,26.6266099933358,1845,1092,37.2877672011988,0.591869918699187,0.320422535211268,218.177,229.379725676967,193.414,92.8406600952148,11.1803398132324,37.4852828979492,94,824
55,1,1077,92.4094707520891,821.674094707521,70.9511688000385,30.9696720622837,0.89970776560208,46.6527894294957,1964,1077,37.0307843513984,0.54837067209776,0.244661517492049,225.834,238.894444302729,207.799,109.254867553711,11.4017543792725,48.9705657958984,96,823
56,1,1291,90.0883036405887,826.529047250194,77.0333405168633,41.2640246880685,0.844430908564458,20.0412706120977,2760,1291,40.5432146265327,0.467753623188406,0.263954201594766,279.45,296.249783362056,228.935,108.911727905273,11.7046995162964,45.1421432495117,98,825
57,1,1294,89.3910355486862,824.499227202473,79.7054041790065,31.3804698033397,0.919236554405705,19.8046815794267,2196,1294,40.5902940478053,0.589253187613843,0.327594936708861,260.287,274.308657865102,205.927,102.598007202148,12.0415945053101,52.1421432495117,100,823
58,1,1325,93.8037735849057,825.023396226415,71.468225169791,38.5656937695152,0.841908607289938,15.9124984288116,2560,1325,41.0736216661508,0.517578125,0.288545296167247,263.463,277.137084989848,217.208,102.012222290039,12.3693170547485,47.1421432495117,101,824
59,1,1341,89.3236390753169,823.613721103654,79.3447544810017,36.2445593172143,0.889570229870039,16.1747887870543,2603,1341,41.3208691763599,0.515174798309643,0.288946347769877,268.575,282.107647738325,229.405,112.598014831543,12.7279224395752,60.3137130737305,97,822
60,1,1426,88.031556802244,825.300140252454,88.3461320239947,35.6971336388739,0.914732505849764,20.802401658726,2625,1426,42.6103225849364,0.543238095238095,0.288080808080808,266.391,280.208152801713,227.264,112.183799743652,12.0415945053101,55.8995018005371,97,825
61,1,1345,87.8832713754647,827.84312267658,89.1397982498873,30.3720111988861,0.940163600009572,18.4156827438665,2318,1345,41.3824502376164,0.580241587575496,0.295604395604396,246.277,258.752308678998,223.567,114.083290100098,12.5299644470215,65.6274337768555,100,826
62,1,1366,81.9355783308931,829.38140556369,103.594084365586,24.3518542041535,0.971978460569198,15.1034523842703,2219,1366,41.7042589924366,0.615592609283461,0.314529127331338,248.247,260.208152801713,230.092,113.911720275879,12,79.6985015869141,100,825
63,1,1394,83.9404591104735,827.986370157819,105.31511758656,24.5437882683991,0.972464526044141,16.249203930204,2358,1394,42.1295137090475,0.591178965224767,0.28801652892562,273.967,289.178715550191,247.088,127.811233520508,11.4017543792725,80.5269317626953,101,824
64,1,1468,83.4025885558583,830.33719346049,102.041529493946,31.4359970494794,0.951363492228676,10.2363817530581,2880,1468,43.2332701940441,0.509722222222222,0.27887537993921,285.917,299.865007051206,253.299,129.568572998047,13,74.6274337768555,97,827
65,1,1470,93.987074829932,828.036054421769,79.2161989884097,42.4452941936833,0.844334877714686,12.9913693979746,3153,1470,43.2627106265972,0.466222645099905,0.259259259259259,292.443,306.835569799683,243.134,115.811233520508,13.0384044647217,52.3847846984863,100,826
66,1,1327,92.525998492841,830.226827430294,71.433399308295,33.7789312469894,0.88113055455319,10.7370343477852,1936,1327,41.1046089369983,0.685433884297521,0.435796387520525,224.874,236.509667991878,198.582,95.1127243041992,13.6014709472656,44.4852828979492,98,828
67,1,1490,92.641610738255,825.191275167785,77.1859286621274,38.0188079682585,0.870277703636148,20.6672105456284,2644,1490,43.5560204983811,0.563540090771558,0.331996434937611,260.18,273.137084989848,227.751,106.426445007324,13.6014709472656,53.3137130737305,99,826
68,1,1504,94.6170212765958,826.063829787234,73.9649116936519,37.7085655443158,0.860282906638972,24.1781292824656,2392,1504,43.760167678857,0.62876254180602,0.354716981132075,236.569,249.137084989848,211.749,101.52693939209,13.9283885955811,50.3137130737305,100,828
69,1,1156,90.2828719723183,826.273356401384,63.8831111619631,27.5461959220396,0.902257879804378,18.9001097622226,1461,1156,38.3648916812474,0.791238877481177,0.507685551163812,176.982,187.681240867132,164.617,78.5269393920898,12.0830459594727,44.6568565368652,98,824
70,1,1081,90.6234967622572,825.36170212766,50.2197899915018,29.290224528721,0.812299395353811,24.3468612941152,1191,1081,37.0994871643627,0.907640638119228,0.648859543817527,136.442,144.124891681028,129.62,53.8700675964355,13.6014709472656,20.4852809906006,96,823
71,1,1111,92.2619261926193,826.802880288029,46.6986772994333,33.0609029704102,0.706250226412661,19.5980415752041,1243,1111,37.6107582242204,0.893805309734513,0.625563063063063,138.336,146.367532368147,131.91,51.2842826843262,13.8924436569214,13.6568536758423,95,825
72,1,1277,96.9467501957713,831.299138606108,49.9092027136701,37.8451213387122,0.651929689164719,-30.8544978846173,1576,1277,40.3227838650409,0.810279187817259,0.532083333333333,161.021,171.095454429505,147.11,66.1127090454102,14.1421356201172,19.6568546295166,97,828
73,1,1204,95.7583056478405,829.924418604651,48.2709371345166,35.9058721396911,0.668357308324127,-45.2924145071036,1458,1204,39.1532937549465,0.825788751714678,0.557407407407407,153.768,162.610173055266,141.552,59.3553581237793,13.9283885955811,16.7279205322266,96,828
74,1,1164,96.6735395189003,830.446735395189,48.6295168866198,34.0685112179372,0.713581048628687,-36.805366182549,1421,1164,38.497413290658,0.819141449683322,0.543417366946779,154.479,162.953318805774,140.899,60.5979957580566,13.8924436569214,20.3137073516846,96,828
75,1,1172,96.372866894198,831.716723549488,48.8337482322455,34.125547450522,0.715306618116426,-40.1178680250745,1370,1172,38.6294802764626,0.855474452554745,0.554924242424242,153.256,161.923881554251,139.014,60.6985015869141,13.416407585144,16.4852809906006,97,830
76,1,1437,94.8065414057063,824.790535838553,68.405726625175,39.9855419286861,0.811368489010501,-78.2986837960509,2369,1437,42.7743524297496,0.60658505698607,0.365091463414634,238.695,251.865007051206,201.983,96.6690826416016,13.416407585144,63.4558563232422,94,829
77,1,1401,97.0049964311206,823.802997858672,67.7331296143158,36.2887747365767,0.844369625322008,-79.7089348908996,1980,1401,42.2351583656787,0.707575757575758,0.450772200772201,209.154,221.379725676967,184.515,81.5980072021484,13.6014709472656,37.3137092590332,96,828
78,1,1573,94.5314685314685,827.626191989828,66.3946541549876,48.0554851883059,0.690025079477817,81.8463281020067,2453,1573,44.7527183964104,0.641255605381166,0.351116071428571,243.5,257.521861300698,214.281,99.8406448364258,13.8924436569214,46.7989959716797,96,831
79,1,1573,92.135410044501,828.185632549269,58.5738362685258,47.5606427732224,0.583688601291646,-72.0888613474889,2238,1573,44.7527183964104,0.702859696157283,0.390128968253968,239.051,253.178715550191,196.765,88.3553619384766,14.1421356201172,33.7279205322266,94,830
80,1,1515,91.2772277227723,830.578217821782,56.3597075996365,50.4091347871101,0.447232053842393,-44.959958910298,2364,1515,43.9199033500049,0.640862944162436,0.400793650793651,232.766,245.764501987818,188.413,91.5980072021484,13.8924436569214,31.7279205322266,94,833
81,1,1466,85.7476125511596,831.418826739427,57.6331097341607,39.4132199965067,0.729609325239671,-16.823270323567,1872,1466,43.2038096998604,0.783119658119658,0.487367021276596,231.533,245.279220613579,170.481,79.5980072021484,14,30.6274127960205,89,833
82,1,1397,89.5433070866142,829.858267716535,56.0486388518734,40.9277596545347,0.683213560015066,-33.0970985976327,1941,1397,42.1748223943507,0.71973209685729,0.394632768361582,206.21,217.137084989848,176.47,78.9117202758789,14.3178215026855,25.9705600738525,91,830
83,1,1356,89.0656342182891,832.720501474926,53.3956813903021,39.6788889821067,0.669168778975693,-16.9634887924239,1713,1356,41.5513275679716,0.791593695271454,0.45841784989858,183.243,193.338095116624,166.323,73.2548599243164,14.1421356201172,20.8994941711426,92,831
