Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
34,1,1303,114.54950115119,118.796623177283,42.6355499783909,39.2920537901599,0.388189400687171,-58.1423113179241,1376,1303,40.7312058106548,0.946947674418605,0.73908111174135,138.824,147.195959492893,130.512,49.6984939575195,17.2626762390137,4.8284273147583,114,119
35,1,1345,115.667657992565,118.194795539033,46.2529396302856,37.3450142768944,0.589992877495028,-53.6436949697647,1419,1345,41.3824502376164,0.94785059901339,0.745565410199557,141.421,149.195959492893,133.679,51.5979919433594,17,8.07106781005859,115,118
36,1,1318,115.481031866464,119.0531107739,43.2902023261914,39.0442411177263,0.431905935616542,-26.5397815198605,1382,1318,40.9649816301795,0.953690303907381,0.73059866962306,139.188,147.195959492893,130.066,47.3137092590332,17.4928550720215,3.41421365737915,116,119
37,1,1276,113.081504702194,119.137147335423,42.8402989013158,38.1744412847052,0.45383216231378,-49.2957897122461,1332,1276,40.3069926821894,0.957957957957958,0.723766307430516,134.664,142.124891681028,127.386,47.5269203186035,17,5.24264097213745,113,119
38,1,1281,111.55737704918,118.697111631538,42.7998634862141,38.6037752296992,0.431819084527899,-59.0398483469609,1390,1281,40.385886851792,0.92158273381295,0.709302325581395,144.837,153.095454429505,131.918,52.4558525085449,17,6.8284273147583,112,119
39,1,1353,112.157427937916,118.70214338507,47.8829574373193,36.6517216988417,0.643502531155725,-70.9012260732798,1463,1353,41.5053382593935,0.924812030075188,0.673469387755102,150.527,158.509667991878,136.938,54.2842864990234,16.4924221038818,9.24264049530029,112,119
40,1,1419,113.871740662438,116.561663143058,47.0621118564962,39.406975178629,0.546682912703788,-54.6581694371164,1529,1419,42.5056103823859,0.928057553956835,0.6875,152.702,161.338095116624,140.378,55.6985015869141,17.4642486572266,8.48528099060059,114,117
41,1,1407,113.647476901208,119.339019189765,43.9726231799219,41.9243880258113,0.30164529806651,-86.919748472181,1547,1407,42.3255010536482,0.909502262443439,0.711324570273003,151.138,159.78174593052,141.519,56.5269241333008,17.6918067932129,9.48528099060059,114,119
42,1,1362,116.814977973568,119.08516886931,43.7801880719933,40.4202582209483,0.384188781361751,-66.3353703434323,1485,1362,41.6431538182363,0.917171717171717,0.687878787878788,149.476,158.02438661764,136.45,51.8700714111328,17.2626762390137,7.24264097213745,116,118
43,1,1305,117.422988505747,121.786973180077,42.3731711469896,39.7377598310503,0.347163232977164,65.7698435612729,1403,1305,40.7624533839585,0.930149679258731,0.722591362126246,141.355,149.438600180013,132.488,48.2842788696289,17.4642486572266,4.8284273147583,117,122
